fid,Organisasj,Juridisk n,Telefonnum,Epost,URL,Selskapsfo,Bransjekod,Bransje,Kommune,Besøksadr,Kontaktper,Daglig led,Etablering,Antall ans,Sum Drifts,Sum salgsi,Annen drif,Driftsresu,Varekostna,Lønnsutgi,Avskrivnin,Nedskrivin,Andre drif,Sum drif_1,Sum Drif_2,Sum salg_1,Annen dr_1,Driftsre_1,Varekost_1,Lønnsut_1,Avskrivn_1,Nedskriv_1,Andre dr_1,Sum drif_3,Sum Drif_4,Sum salg_2,Annen dr_2,Driftsre_2,Varekost_2,Lønnsut_2,Avskrivn_2,Nedskriv_2,Andre dr_2,Sum drif_5,Sum Drif_6,Sum salg_3,Annen dr_3,Driftsre_3,Varekost_3,Lønnsut_3,Avskrivn_3,Nedskriv_3,Andre dr_3,Sum drif_7,Sum Drif_8,Sum salg_4,Annen dr_4,Driftsre_4,Varekost_4,Lønnsut_4,Avskrivn_4,Nedskriv_4,Andre dr_4,Sum drif_9,Sum Drif10,Sum salg_5,Annen dr_5,Driftsre_5,Varekost_5,Lønnsut_5,Avskrivn_5,Nedskriv_5,Andre dr_5,Sum drif11,Sum Drif12,Sum salg_6,Annen dr_6,Driftsre_6,Varekost_6,Lønnsut_6,Avskrivn_6,Nedskriv_6,Andre dr_6,Sum drif13,Sum Drif14,Sum salg_7,Annen dr_7,Driftsre_7,Varekost_7,Lønnsut_7,Avskrivn_7,Nedskriv_7,Andre dr_7,Sum drif15,Sum Drif16,Sum salg_8,Annen dr_8,Driftsre_8,Varekost_8,Lønnsut_8,Avskrivn_8,Nedskriv_8,Andre dr_8,Sum drif17,result_num,osm_id,display_na,category,type,latlong,_count,_sum,_mean
"11","921349890",Oris Dental AS,"55320804",broegelmannhuset@orisdental.no,https://orisdental.no/klinikker/broegelmannhuset/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Bergen,"Strandgaten 5, 5013 Bergen",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4844709026","5, Strandgaten, Sentrum, Skuteviken, Bergenhus, Bergen, Vestland, 5013, Norge",place,house,"60.393979,5.323852",1237,29691.8586034626,24.0031193237369
"12","921349890",Oris Dental AS,"64874120",ski@orisdental.no,https://orisdental.no/klinikker/ski/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Nordre Follo,"Sentrumveien 4, 1400 Ski",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2834519614","4, Sentrumveien, Nordre Finstad, Finstad, Ski, Nordre Follo, Viken, 1400, Norge",place,house,"59.7188307,10.8387765",1235,15454.8382670814,12.514039082657
"13","921349890",Oris Dental AS,"55240531",arna@orisdental.no,https://orisdental.no/klinikker/indre-arna/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Bergen,"Indre Arna-vegen 170, 5261 Indre Arna",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3125971851","170, Indre Arna-vegen, Teigen, Arna, Indre Arna, Vestland, 5261, Norge",place,house,"60.423878,5.470067",1233,5088.94096596539,4.12728383289975
"14","921349890",Oris Dental AS,"37004949",stoa@orisdental.no,https://orisdental.no/klinikker/stoa/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Arendal,"Stoaveien 43 A, 4848 Arendal",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3124039730","43A, Stoaveien, Stoa, Arendal, Agder, 4848, Norge",place,house,"58.4638764,8.7154565",1234,3738.08825498819,3.02924493921247
"15","921349890",Oris Dental AS,"69377707",hvalertannlegene@orisdental.no,https://orisdental.no/klinikker/hvalertannlegene/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Hvaler,"Norderhaugveien 14, 1684 Vesterøy",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3122727814","14, Norderhaugveien, Ødegården, Hauge, Hvaler, Viken, 1684, Norge",place,house,"59.110381,10.911289",1237,587.460568064824,0.474907492372533
"16","921349890",Oris Dental AS,"73991999",resepsjonen.trondheim@orisdental.no,https://orisdental.no/klinikker/trondheim-torg/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Trondheim,"Kongens gate 11, 7013 Trondheim",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2957446440","11, Kongens gate, Kalvskinnet, Midtbyen, Trondheim, Trøndelag, 7013, Norge",place,house,"63.4303852,10.393291",1234,29749.6851424277,24.1083347993741
"17","921349890",Oris Dental AS,"23326660",homansbyen@orisdental.no,https://orisdental.no/klinikker/homansbyen/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Oslo,"Oscars gate 20, 0352 Oslo",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2788286546","20, Oscars gate, Homansbyen, Frogner, Oslo, 0352, Norge",place,house,"59.922409,10.728087",1230,84600.6516645327,68.7810176134412
"18","921349890",Oris Dental AS,"22367600",gallerioslo@orisdental.no,https://orisdental.no/klinikker/galleri-oslo/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Oslo,"Schweigaards gate 6, 0185 Oslo",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2785553802","6, Schweigaards gate, Vaterland, Sentrum, Oslo, 0185, Norge",place,house,"59.911913,10.756443",1230,68688.9245654419,55.8446541182455
"19","921349890",Oris Dental AS,"55194050",kkjevearken@orisdental.no,https://orisdental.no/klinikker/kjeveortopedene-arken/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Bergen,"Åsane Senter 39, 5116 Ulset",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","26816455","Åsane senter, Ulset, Åsane, Bergen, Vestland, 5116, Norge",highway,residential,"60.4640561,5.3200903",1241,20174.8007333428,16.256890196086
"20","921349890",Oris Dental AS,"51747745",jorpeland@orisdental.no,https://orisdental.no/klinikker/jorpeland/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Strand,"Direktør Poulsonsgate 68, 4100 Jørpeland",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","66979479","Direktør Poulsonsgate, Longaland, Svenskebyen, Jørpeland, Strand, Rogaland, 4104, Norge",highway,tertiary,"59.0196276,6.0418907",1239,6467.1573710693,5.21965889513261
"21","921349890",Oris Dental AS,"51662375",nygardstunet@orisdental.no,https://orisdental.no/klinikker/nygardstunet/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Sandnes,"Jærveien 15, 4319 Sandnes",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2816784633","15, Jærveien, Gravaren, Trones, Sandnes, Rogaland, 4319, Norge",place,house,"58.8496808,5.7320923",1235,25420.2515790313,20.5831996591347
"22","921349890",Oris Dental AS,"51537540",lokkeveien@orisdental.no,https://orisdental.no/klinikker/lokkeveien/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Stavanger,"Løkkeveien 56, 4008 Stavanger",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2840920069","56, Løkkeveien, Straen, Ledaal, Eiganes og Våland, Stavanger, Rogaland, 4008, Norge",place,house,"58.9700172,5.7253974",1229,38347.7769734766,31.2024222729672
"23","921349890",Oris Dental AS,"67129000",lysaker@orisdental.no,https://orisdental.no/klinikker/lysaker/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Bærum,"Lysaker torg 5, 1366 Lysaker",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2821351458","5, Lysaker torg, Lysaker mølle, Lysaker, Bærum, Viken, 1366, Norge",place,house,"59.912534,10.637143",1235,30133.1740682051,24.3993312293158
"24","921349890",Oris Dental AS,"32836000",drammen@orisdental.no,https://orisdental.no/klinikker/drammen/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Drammen,"Øvre Torggate 10, 3017 Drammen",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3130016446","10, Øvre Torggate, Bragernes, Drammen, Viken, 3017, Norge",place,house,"59.744872,10.202073",1238,24228.7827249859,19.5709068860952
"25","921349890",Oris Dental AS,"51555525",stage@orisdental.no,https://orisdental.no/klinikker/martin-stage/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Stavanger,"Madlakrossen 25, 4042 Hafrsfjord",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2836120198","25, Madlakrossen, Madlamark, Madla, Stavanger, Rogaland, 4042, Norge",place,house,"58.9512853,5.6759509",1236,24026.088849755,19.4385832117759
"26","921349890",Oris Dental AS,"72879010",melhus@orisdental.no,https://orisdental.no/klinikker/melhus/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Melhus,"Melhusvegen 451, 7224 Melhus",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3117165730","451, Melhusvegen, Gylle, Meegga, Melhus, Trøndelag, 7224, Norge",place,house,"63.286513,10.2761291",1239,4065.82922180369,3.28154093769467
"27","921349890",Oris Dental AS,"22838200",akerbrygge@orisdental.no,https://orisdental.no/klinikker/aker-brygge/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Oslo,"Grundingen 6, 0250 Oslo",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2785415230","6, Grundingen, Ruseløkka, Frogner, Oslo, 0250, Norge",place,house,"59.910636,10.727314",1238,60620.3131923974,48.9663272959591
"28","921349890",Oris Dental AS,"33313427",tonsberg@orisdental.no,https://orisdental.no/klinikker/tonsberg/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Tønsberg,"Øvre Langgate 50, 3110 Tønsberg",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4110075886","50, Øvre Langgate, Kaldnes, Tønsberg, Vestfold og Telemark, 3110, Norge",place,house,"59.268636,10.4062278",1235,11355.5870142151,9.19480729895957
"29","921349890",Oris Dental AS,"69924230",firmapost@knapstadtannklinikk.no,https://orisdental.no/klinikker/knapstad/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Indre Østfold,"Veigård 3, 1823 Knapstad",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3122839685","3, Veigård, Vestre Knapstad, Knapstad, Indre Østfold, Viken, 1823, Norge",place,house,"59.620821,11.0297491",1230,2533.93181767408,2.06010716884071
"30","921349890",Oris Dental AS,"76941551",post@oris-narvik.no,https://orisdental.no/klinikker/narvik/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Narvik,"Dronningens gate 23, 8514 Narvik",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3125147862","23, Dronningens gate, Bromsgård, Narvik - Áhkánjárga, Narvik, Nordland, 8514, Norge",place,house,"68.4353142,17.4269653",1233,12099.5353108123,9.81308622125896
"31","921349890",Oris Dental AS,"98873550",,,Privat aksjeselskap,"8623000",Tannhelsetjenester,Narvik,"Troveien 18, 8521 Ankenes",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3125146080","18, Troveien, Heimstad, Håkvik - Ginnasluokta, Narvik, Nordland, 8521, Norge",place,house,"68.403302,17.318792",1239,291.094762194902,0.234943310891769
"32","921349890",Oris Dental AS,"22210296",rommen@orisdental.no,https://orisdental.no/klinikker/rommen/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Oslo,"Nedre Rommen 5 C, 0988 Oslo",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","21995234","Nedre Rommen, Stovner, Oslo, 0988, Norge",highway,unclassified,"59.9633134,10.9093338",1237,32371.1181000657,26.1690526273773
"33","921349890",Oris Dental AS,"91326481",,,Privat aksjeselskap,"8623000",Tannhelsetjenester,Oslo,"Glimmerveien 22, 1155 Oslo",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2805231735","22, Glimmerveien, Nordstrand, Oslo, 1155, Norge",place,house,"59.870476,10.816437",1237,52318.1672254056,42.2943954934564
"34","921349890",Oris Dental AS,"51661730",,,Privat aksjeselskap,"8623000",Tannhelsetjenester,Sandnes,"Langgata 41, 4306 Sandnes",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2816838931","41, Langgata, Gravaren, Trones, Sandnes, Rogaland, 4306, Norge",place,house,"58.853126,5.736468",1240,26045.6767624095,21.0045780342012
"35","921349890",Oris Dental AS,"38027380",kristiansand@orisdental.no,https://orisdental.no/klinikker/kristiansand/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Kristiansand,"Festningsgata 39, 4611 Kristiansand S",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3097740591","39, Festningsgata, Gravane, Kvadraturen, Kristiansand, Agder, 4611, Norge",place,house,"58.1482775,7.9944433",1231,18973.240063902,15.412867639238
"36","921349890",Oris Dental AS,"21422412",,,Privat aksjeselskap,"8623000",Tannhelsetjenester,Oslo,"Ryensvingen 5, 0680 Oslo",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","6140830937","Ryensvingen 5, Ryensvingen, Svenskerud, Østensjø, Oslo, 0680, Norge",amenity,parking,"59.8923825,10.8050359",1232,53539.1068286821,43.4570672310732
"37","921349890",Oris Dental AS,"23196190",post@oralkirurgisk.no,http://www.oralkirurgisk.no/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Oslo,"Sørkedalsveien 10, 0369 Oslo",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2788525906","10, Sørkedalsveien, Frogner, Oslo, 0369, Norge",place,house,"59.930729,10.709962",1233,77646.3232423365,62.9734981689672
"38","921349890",Oris Dental AS,"73806760",resepsjonen.munkegata@orisdental.no,https://orisdental.no/klinikker/munkegata/,Privat aksjeselskap,"8623000",Tannhelsetjenester,Trondheim,"Munkegata 9, 7013 Trondheim",,,20.08.2018,"680","1004259000","1003749000","509000","108100000","492581000","222229000","43223000","0","138126000","896159000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","383903250","9, Munkegata, Kalvskinnet, Midtbyen, Trondheim, Trøndelag, 7013, Norge",place,house,"63.429063,10.39622",1233,32029.0619216263,25.9765303500619
